producto;cod_barra;descripcion;precio;fecha_mod
670457;7,79834E+12;CARPETA BIA 340 CARTONE PPR;$ 218,90;20/4/2020
670485;7,79834E+12;CARPETA BIA Nro 3 CARTONE PPR;$ 121,00;20/4/2020
670468;7,79834E+12;CARPETA BOCA JRS 340 CARTONE PPR;$ 218,90;20/4/2020
670497;7,79834E+12;CARPETA BOCA JRS Nro 3 CARTONE PPR;$ 121,00;20/4/2020
770004;7,79415E+12;CARPETA CARS 340 CARTONE 78010 CONVENOR;$ 67,45;20/4/2020
651001;9,19991E+12;CARPETA CARTON Nro 3 CUERITO GRIS * 10 U.;$ 667,30;3/2/2021
651002;9,19991E+12;CARPETA CARTON Nro 5 CUERITO GRIS * 10 U.;$ 883,95;3/2/2021
651003;9,19991E+12;CARPETA CARTON Nro 6 CUERITO GRIS * 10 U.;$ 1.401,75;3/2/2021
638932;7,79819E+12;CARPETA CHIMOLA SBK-3X40 BELIEVE BLACK;$ 353,93;28/12/2020
638931;7,79819E+12;CARPETA CHIMOLA SCO-3X40 COSMOS;$ 353,93;28/12/2020
638928;7,79819E+12;CARPETA CHIMOLA SH1-3X40 ICE CREAM;$ 353,93;28/12/2020
638925;7,79819E+12;CARPETA CHIMOLA SM1-3X40 MAPACHE;$ 353,93;28/12/2020
638933;7,79819E+12;CARPETA CHIMOLA SMK-3X40 MILKSHAKE GREEN;$ 353,93;28/12/2020
638926;7,79819E+12;CARPETA CHIMOLA SU1-3X40 UNICORNIO;$ 353,93;28/12/2020
650005;9,19991E+12;CARPETA COLGANTE 5 POSIC MOVIL *50 U.;$ 2.339,67;10/5/2021
650006;9,19991E+12;CARPETA COLGANTE 7 POSIC MOVIL * 50 U.;$ 2.339,67;10/5/2021
650007;9,19991E+12;CARPETA COLGANTE DELTA * 50 U.;$ 2.215,58;10/5/2021
650008;7,79619E+12;CARPETA COLGANTE INTERNA SIMPLE * 50 u. P/COLGANTE;$ 626,43;10/5/2021
650014;7,79619E+12;CARPETA COLGANTE NEPACO AMARILLO CAJA * 25 U;$ 1.652,31;10/5/2021
650013;7,79619E+12;CARPETA COLGANTE NEPACO AZUL CAJA * 25 UNID;$ 1.652,31;10/5/2021
650019;9,19991E+12;CARPETA COLGANTE NEPACO BORDEAUX  CAJA * 25 UNID;$ 1.652,31;10/5/2021
650011;7,79619E+12;CARPETA COLGANTE NEPACO CELESTE CAJA * 25 UNID;$ 1.652,31;10/5/2021
650012;7,79619E+12;CARPETA COLGANTE NEPACO NARANJA CAJA * 25 UNID;$ 1.652,31;10/5/2021
650020;9,19991E+12;CARPETA COLGANTE NEPACO NEGRO CAJA * 25 U;$ 1.652,31;10/5/2021
650016;7,79619E+12;CARPETA COLGANTE NEPACO ROJO CAJA * 25 UNID;$ 1.652,31;10/5/2021
650015;7,79619E+12;CARPETA COLGANTE NEPACO VERDE CAJA * 25 UNID;$ 1.652,31;10/5/2021
650018;9,19991E+12;CARPETA COLGANTE NEPACO VIOLETA CAJA * 25 UNID;$ 1.652,31;10/5/2021
670395;7,79812E+12;CARPETA COOK Nro 5 4479 CARTONE;$ 28,49;20/4/2020
670452;7,79828E+12;CARPETA COOL FRUITS Nro 3 CARTONE PPR;$ 68,64;20/4/2020
653139;4,71698E+12;CARPETA DUNSON 612 CARTA/A4 C/SUJ VELOX  NEGRO;$ 109,33;13/4/2021
